text_cleaned,text_tokens,text_stemmed,text_lemmatized,text_removal,text_bigrams,text_trigrams
rasa intrograsi,"['rasa', 'intrograsi']","['rasa', 'intrograsi']","['rasa', 'intrograsi']",['intrograsi'],rasa_intrograsi,
yaaaaaaaahhhh gak jadi naik pangkat nihhh tertipu atau nipu sih,"['yaaaaaaaahhhh', 'gak', 'jadi', 'naik', 'pangkat', 'nihhh', 'tertipu', 'atau', 'nipu', 'sih']","['yaaaaaaaahhhh', 'gak', 'jadi', 'naik', 'pangkat', 'nihhh', 'tertipu', 'atau', 'nipu', 'sih']","['yaaaaaaaahhhh', 'gak', 'jadi', 'naik', 'pangkat', 'nihhh', 'tertipu', 'atau', 'nipu', 'sih']","['yaaaaaaaahhhh', 'gak', 'pangkat', 'nihhh', 'tertipu', 'nipu', 'sih']",yaaaaaaaahhhh_gak gak_jadi jadi_naik naik_pangkat pangkat_nihhh nihhh_tertipu tertipu_atau atau_nipu nipu_sih,yaaaaaaaahhhh_gak_jadi gak_jadi_naik jadi_naik_pangkat naik_pangkat_nihhh pangkat_nihhh_tertipu nihhh_tertipu_atau tertipu_atau_nipu atau_nipu_sih
bijorkqbitu dulunya kerja di bumn yang dapet project iktp,"['bijorkqbitu', 'dulunya', 'kerja', 'di', 'bumn', 'yang', 'dapet', 'project', 'iktp']","['bijorkqbitu', 'dulunya', 'kerja', 'di', 'bumn', 'yang', 'dapet', 'project', 'iktp']","['bijorkqbitu', 'dulunya', 'kerja', 'di', 'bumn', 'yang', 'dapet', 'project', 'iktp']","['bijorkqbitu', 'dulunya', 'kerja', 'bumn', 'dapet', 'project', 'iktp']",bijorkqbitu_dulunya dulunya_kerja kerja_di di_bumn bumn_yang yang_dapet dapet_project project_iktp,bijorkqbitu_dulunya_kerja dulunya_kerja_di kerja_di_bumn di_bumn_yang bumn_yang_dapet yang_dapet_project dapet_project_iktp
obok polri wkwkwk lucu,"['obok', 'obok', 'polri', 'wkwkwk', 'lucu']","['obok', 'obok', 'polri', 'wkwkwk', 'lucu']","['obok', 'obok', 'polri', 'wkwkwk', 'lucu']","['obok', 'obok', 'polri', 'wkwkwk', 'lucu']",obok_polri polri_wkwkwk wkwkwk_lucu,obok_polri_wkwkwk polri_wkwkwk_lucu
kesering becking mafia sih jadi tugas sebenrnya dimalesmalesin,"['kesering', 'becking', 'mafia', 'sih', 'jadi', 'tugas', 'sebenrnya', 'dimalesmalesin']","['keser', 'beck', 'mafia', 'sih', 'jadi', 'tuga', 'sebenrnya', 'dimalesmalesin']","['keser', 'beck', 'mafia', 'sih', 'jadi', 'tuga', 'sebenrnya', 'dimalesmalesin']","['keser', 'beck', 'mafia', 'sih', 'tuga', 'sebenrnya', 'dimalesmalesin']",kesering_becking becking_mafia mafia_sih sih_jadi jadi_tugas tugas_sebenrnya sebenrnya_dimalesmalesin,kesering_becking_mafia becking_mafia_sih mafia_sih_jadi sih_jadi_tugas jadi_tugas_sebenrnya tugas_sebenrnya_dimalesmalesin
prabowo kdm kita perlu orang spt mereka hrs di fasilitasi bisa atau tidak harus dan siap,"['prabowo', 'kdm', 'kita', 'perlu', 'orang', 'spt', 'mereka', 'hrs', 'di', 'fasilitasi', 'bisa', 'atau', 'tidak', 'harus', 'dan', 'siap']","['prabowo', 'kdm', 'kita', 'perlu', 'orang', 'spt', 'mereka', 'hr', 'di', 'fasilitasi', 'bisa', 'atau', 'tidak', 'haru', 'dan', 'siap']","['prabowo', 'kdm', 'kita', 'perlu', 'orang', 'spt', 'mereka', 'hr', 'di', 'fasilitasi', 'bisa', 'atau', 'tidak', 'haru', 'dan', 'siap']","['prabowo', 'kdm', 'orang', 'spt', 'hr', 'fasilitasi', 'haru']",prabowo_kdm kdm_kita kita_perlu perlu_orang orang_spt spt_mereka mereka_hrs hrs_di di_fasilitasi fasilitasi_bisa bisa_atau atau_tidak tidak_harus harus_dan dan_siap,prabowo_kdm_kita kdm_kita_perlu kita_perlu_orang perlu_orang_spt orang_spt_mereka spt_mereka_hrs mereka_hrs_di hrs_di_fasilitasi di_fasilitasi_bisa fasilitasi_bisa_atau bisa_atau_tidak atau_tidak_harus tidak_harus_dan harus_dan_siap
lucu sih klo bener² salah tangkep parah,"['lucu', 'sih', 'klo', 'bener²', 'salah', 'tangkep', 'lucu', 'parah']","['lucu', 'sih', 'klo', 'bener²', 'salah', 'tangkep', 'lucu', 'parah']","['lucu', 'sih', 'klo', 'bener²', 'salah', 'tangkep', 'lucu', 'parah']","['lucu', 'sih', 'klo', 'bener²', 'salah', 'tangkep', 'lucu', 'parah']",lucu_sih sih_klo klo_bener² bener²_salah salah_tangkep tangkep_parah,lucu_sih_klo sih_klo_bener² klo_bener²_salah bener²_salah_tangkep salah_tangkep_parah
wkwkwk segampang itu bjorka muncul d publik,"['wkwkwk', 'segampang', 'itu', 'bjorka', 'muncul', 'd', 'publik']","['wkwkwk', 'segampang', 'itu', 'bjorka', 'muncul', 'd', 'publik']","['wkwkwk', 'segampang', 'itu', 'bjorka', 'muncul', 'd', 'publik']","['wkwkwk', 'segampang', 'bjorka', 'muncul', 'd', 'publik']",wkwkwk_segampang segampang_itu itu_bjorka bjorka_muncul muncul_d d_publik,wkwkwk_segampang_itu segampang_itu_bjorka itu_bjorka_muncul bjorka_muncul_d muncul_d_publik
2025 masih percaya polisi,"['2025', 'masih', 'percaya', 'polisi']","['2025', 'masih', 'percaya', 'polisi']","['2025', 'masih', 'percaya', 'polisi']","['2025', 'percaya', 'polisi']",2025_masih masih_percaya percaya_polisi,2025_masih_percaya masih_percaya_polisi
bisa nya isilop kita salah tangkap malah yang ditangkap bjorka kw ujungnya data disebar sama asli,"['bisa', 'nya', 'isilop', 'kita', 'salah', 'tangkap', 'malah', 'yang', 'ditangkap', 'bjorka', 'kw', 'ujungnya', 'data', 'disebar', 'sama', 'asli']","['bisa', 'nya', 'isilop', 'kita', 'salah', 'tangkap', 'malah', 'yang', 'ditangkap', 'bjorka', 'kw', 'ujungnya', 'data', 'disebar', 'sama', 'asli']","['bisa', 'nya', 'isilop', 'kita', 'salah', 'tangkap', 'malah', 'yang', 'ditangkap', 'bjorka', 'kw', 'ujungnya', 'data', 'disebar', 'sama', 'asli']","['nya', 'isilop', 'salah', 'tangkap', 'ditangkap', 'bjorka', 'kw', 'ujungnya', 'data', 'disebar', 'asli']",bisa_nya nya_isilop isilop_kita kita_salah salah_tangkap tangkap_malah malah_yang yang_ditangkap ditangkap_bjorka bjorka_kw kw_ujungnya ujungnya_data data_disebar disebar_sama sama_asli,bisa_nya_isilop nya_isilop_kita isilop_kita_salah kita_salah_tangkap salah_tangkap_malah tangkap_malah_yang malah_yang_ditangkap yang_ditangkap_bjorka ditangkap_bjorka_kw bjorka_kw_ujungnya kw_ujungnya_data ujungnya_data_disebar data_disebar_sama disebar_sama_asli
pegi ja sampai skrang gk d tangkap,"['pegi', 'ja', 'sampai', 'skrang', 'gk', 'd', 'tangkap']","['pegi', 'ja', 'sampai', 'skrang', 'gk', 'd', 'tangkap']","['pegi', 'ja', 'sampai', 'skrang', 'gk', 'd', 'tangkap']","['pegi', 'ja', 'skrang', 'gk', 'd', 'tangkap']",pegi_ja ja_sampai sampai_skrang skrang_gk gk_d d_tangkap,pegi_ja_sampai ja_sampai_skrang sampai_skrang_gk skrang_gk_d gk_d_tangkap
menunjukkan kebodhan polisi itu sendiri,"['menunjukkan', 'kebodhan', 'polisi', 'itu', 'sendiri']","['menunjukkan', 'kebodhan', 'polisi', 'itu', 'sendiri']","['menunjukkan', 'kebodhan', 'polisi', 'itu', 'sendiri']","['kebodhan', 'polisi']",menunjukkan_kebodhan kebodhan_polisi polisi_itu itu_sendiri,menunjukkan_kebodhan_polisi kebodhan_polisi_itu polisi_itu_sendiri
nan,['nan'],['nan'],['nan'],['nan'],,
masa nangkap yg kaya begitu namanya ahli pasti kalau jjl prevetjet bro,"['masa', 'nangkap', 'yg', 'kaya', 'begitu', 'namanya', 'ahli', 'pasti', 'kalau', 'jjl', 'prevetjet', 'bro']","['masa', 'nangkap', 'yg', 'kaya', 'begitu', 'namanya', 'ahli', 'pasti', 'kalau', 'jjl', 'prevetjet', 'bro']","['masa', 'nangkap', 'yg', 'kaya', 'begitu', 'namanya', 'ahli', 'pasti', 'kalau', 'jjl', 'prevetjet', 'bro']","['nangkap', 'yg', 'kaya', 'namanya', 'ahli', 'jjl', 'prevetjet', 'bro']",masa_nangkap nangkap_yg yg_kaya kaya_begitu begitu_namanya namanya_ahli ahli_pasti pasti_kalau kalau_jjl jjl_prevetjet prevetjet_bro,masa_nangkap_yg nangkap_yg_kaya yg_kaya_begitu kaya_begitu_namanya begitu_namanya_ahli namanya_ahli_pasti ahli_pasti_kalau pasti_kalau_jjl kalau_jjl_prevetjet jjl_prevetjet_bro
sampai menit ke 2 kamera nya nyorot om deddy terus,"['sampai', 'menit', 'ke', '2', 'kamera', 'nya', 'nyorot', 'om', 'deddy', 'terus']","['sampai', 'menit', 'ke', '2', 'kamera', 'nya', 'nyorot', 'om', 'deddi', 'teru']","['sampai', 'menit', 'ke', '2', 'kamera', 'nya', 'nyorot', 'om', 'deddi', 'teru']","['menit', '2', 'kamera', 'nya', 'nyorot', 'om', 'deddi', 'teru']",sampai_menit menit_ke ke_2 2_kamera kamera_nya nya_nyorot nyorot_om om_deddy deddy_terus,sampai_menit_ke menit_ke_2 ke_2_kamera 2_kamera_nya kamera_nya_nyorot nya_nyorot_om nyorot_om_deddy om_deddy_terus
jujur saya tertarik dengan hacking setelah nonton video ini kemarin coba hack pencet link gajelas malah akhirnya acount kena gimana iniii,"['jujur', 'saya', 'tertarik', 'dengan', 'hacking', 'setelah', 'nonton', 'video', 'ini', 'kemarin', 'coba', 'hack', 'pencet', 'link', 'gajelas', 'malah', 'akhirnya', 'acount', 'kena', 'gimana', 'iniii']","['jujur', 'saya', 'tertarik', 'dengan', 'hack', 'setelah', 'nonton', 'video', 'ini', 'kemarin', 'coba', 'pencet', 'link', 'gajela', 'malah', 'akhirnya', 'acount', 'kena', 'gimana', 'iniii']","['jujur', 'saya', 'tertarik', 'dengan', 'hack', 'setelah', 'nonton', 'video', 'ini', 'kemarin', 'coba', 'pencet', 'link', 'gajela', 'malah', 'akhirnya', 'acount', 'kena', 'gimana', 'iniii']","['jujur', 'tertarik', 'hack', 'nonton', 'video', 'kemarin', 'coba', 'pencet', 'link', 'gajela', 'acount', 'kena', 'gimana', 'iniii']",jujur_saya saya_tertarik tertarik_dengan dengan_hacking hacking_setelah setelah_nonton nonton_video video_ini ini_kemarin kemarin_coba coba_hack hack_pencet pencet_link link_gajelas gajelas_malah malah_akhirnya akhirnya_acount acount_kena kena_gimana gimana_iniii,jujur_saya_tertarik saya_tertarik_dengan tertarik_dengan_hacking dengan_hacking_setelah hacking_setelah_nonton setelah_nonton_video nonton_video_ini video_ini_kemarin ini_kemarin_coba kemarin_coba_hack coba_hack_pencet hack_pencet_link pencet_link_gajelas link_gajelas_malah gajelas_malah_akhirnya malah_akhirnya_acount akhirnya_acount_kena acount_kena_gimana kena_gimana_iniii
5523 funfact ratarata pembuat apk mod adalah anakanak indonesia yang bkin apknya seperti whatsapp tiktok bahkan youtube pun ada,"['5523', 'funfact', 'ratarata', 'pembuat', 'apk', 'mod', 'adalah', 'anakanak', 'indonesia', 'yang', 'bkin', 'apknya', 'seperti', 'whatsapp', 'tiktok', 'bahkan', 'youtube', 'pun', 'ada']","['5523', 'funfact', 'ratarata', 'pembuat', 'apk', 'mod', 'adalah', 'anakanak', 'indonesia', 'yang', 'bkin', 'apknya', 'seperti', 'whatsapp', 'tiktok', 'bahkan', 'youtub', 'pun', 'ada']","['5523', 'funfact', 'ratarata', 'pembuat', 'apk', 'mod', 'adalah', 'anakanak', 'indonesia', 'yang', 'bkin', 'apknya', 'seperti', 'whatsapp', 'tiktok', 'bahkan', 'youtub', 'pun', 'ada']","['5523', 'funfact', 'ratarata', 'pembuat', 'apk', 'mod', 'anakanak', 'indonesia', 'bkin', 'apknya', 'whatsapp', 'tiktok', 'youtub', 'mod']",5523_funfact funfact_ratarata ratarata_pembuat pembuat_apk apk_mod mod_adalah adalah_anakanak anakanak_indonesia indonesia_yang yang_bkin bkin_apknya apknya_seperti seperti_whatsapp whatsapp_tiktok tiktok_bahkan bahkan_youtube youtube_pun pun_ada,5523_funfact_ratarata funfact_ratarata_pembuat ratarata_pembuat_apk pembuat_apk_mod apk_mod_adalah mod_adalah_anakanak adalah_anakanak_indonesia anakanak_indonesia_yang indonesia_yang_bkin yang_bkin_apknya bkin_apknya_seperti apknya_seperti_whatsapp seperti_whatsapp_tiktok whatsapp_tiktok_bahkan tiktok_bahkan_youtube bahkan_youtube_pun youtube_pun_ada
makanya orang pinter itu dipake dimanfaatin ini malah ga orang2 yang dangkal ya sudah dikerjain,"['makanya', 'orang', 'pinter', 'itu', 'dipake', 'dimanfaatin', 'ini', 'malah', 'ga', 'orang2', 'yang', 'dangkal', 'ya', 'sudah', 'dikerjain']","['makanya', 'orang', 'pinter', 'itu', 'dipak', 'dimanfaatin', 'ini', 'malah', 'ga', 'orang2', 'yang', 'dangkal', 'ya', 'sudah', 'dikerjain']","['makanya', 'orang', 'pinter', 'itu', 'dipak', 'dimanfaatin', 'ini', 'malah', 'ga', 'orang2', 'yang', 'dangkal', 'ya', 'sudah', 'dikerjain']","['orang', 'orang', 'pinter', 'dipak', 'dimanfaatin', 'ga', 'orang2', 'dangkal', 'ya', 'dikerjain']",makanya_orang orang_pinter pinter_itu itu_dipake dipake_dimanfaatin dimanfaatin_ini ini_malah malah_ga ga_orang2 orang2_yang yang_dangkal dangkal_ya ya_sudah sudah_dikerjain,makanya_orang_pinter orang_pinter_itu pinter_itu_dipake itu_dipake_dimanfaatin dipake_dimanfaatin_ini dimanfaatin_ini_malah ini_malah_ga malah_ga_orang2 ga_orang2_yang orang2_yang_dangkal yang_dangkal_ya dangkal_ya_sudah ya_sudah_dikerjain
dibantu malah dipenjara,"['dibantu', 'malah', 'dipenjara']","['dibantu', 'malah', 'dipenjara']","['dibantu', 'malah', 'dipenjara']","['dibantu', 'dipenjara']",dibantu_malah malah_dipenjara,dibantu_malah_dipenjara
nan,['nan'],['nan'],['nan'],['nan'],,
nyari sepeda hilang aja gak becus mau nangkep bjorka kan lawak,"['nyari', 'sepeda', 'hilang', 'aja', 'gak', 'becus', 'mau', 'nangkep', 'bjorka', 'kan', 'lawak']","['nyari', 'sepeda', 'hilang', 'aja', 'gak', 'becu', 'mau', 'nangkep', 'bjorka', 'kan', 'lawak']","['nyari', 'sepeda', 'hilang', 'aja', 'gak', 'becu', 'mau', 'nangkep', 'bjorka', 'kan', 'lawak']","['nyari', 'sepeda', 'hilang', 'aja', 'gak', 'becu', 'nangkep', 'bjorka', 'lawak']",nyari_sepeda sepeda_hilang hilang_aja aja_gak gak_becus becus_mau mau_nangkep nangkep_bjorka bjorka_kan kan_lawak,nyari_sepeda_hilang sepeda_hilang_aja hilang_aja_gak aja_gak_becus gak_becus_mau becus_mau_nangkep mau_nangkep_bjorka nangkep_bjorka_kan bjorka_kan_lawak
bjorkabongkar semua kebusukan polri termul ke publikbiar rakyat tau,"['bjorkabongkar', 'semua', 'kebusukan', 'polri', 'termul', 'ke', 'publikbiar', 'rakyat', 'tau']","['bjorkabongkar', 'semua', 'kebusukan', 'polri', 'termul', 'ke', 'publikbiar', 'rakyat', 'tau']","['bjorkabongkar', 'semua', 'kebusukan', 'polri', 'termul', 'ke', 'publikbiar', 'rakyat', 'tau']","['bjorkabongkar', 'kebusukan', 'polri', 'termul', 'publikbiar', 'rakyat', 'tau']",bjorkabongkar_semua semua_kebusukan kebusukan_polri polri_termul termul_ke ke_publikbiar publikbiar_rakyat rakyat_tau,bjorkabongkar_semua_kebusukan semua_kebusukan_polri kebusukan_polri_termul polri_termul_ke termul_ke_publikbiar ke_publikbiar_rakyat publikbiar_rakyat_tau
dari cara ngomong ya dia so tau banget beda kaya aji yang ngaku hacker,"['dari', 'cara', 'ngomong', 'ya', 'dia', 'so', 'tau', 'banget', 'beda', 'kaya', 'aji', 'yang', 'ngaku', 'hacker']","['dari', 'cara', 'ngomong', 'ya', 'dia', 'so', 'tau', 'banget', 'beda', 'kaya', 'aji', 'yang', 'ngaku', 'hacker']","['dari', 'cara', 'ngomong', 'ya', 'dia', 'so', 'tau', 'banget', 'beda', 'kaya', 'aji', 'yang', 'ngaku', 'hacker']","['ngomong', 'ya', 'so', 'tau', 'banget', 'beda', 'kaya', 'aji', 'ngaku', 'hacker']",dari_cara cara_ngomong ngomong_ya ya_dia dia_so so_tau tau_banget banget_beda beda_kaya kaya_aji aji_yang yang_ngaku ngaku_hacker,dari_cara_ngomong cara_ngomong_ya ngomong_ya_dia ya_dia_so dia_so_tau so_tau_banget tau_banget_beda banget_beda_kaya beda_kaya_aji kaya_aji_yang aji_yang_ngaku yang_ngaku_hacker
yang pernah pake wa mod kumpul sini,"['yang', 'pernah', 'pake', 'wa', 'mod', 'kumpul', 'sini']","['yang', 'pernah', 'pake', 'wa', 'mod', 'kumpul', 'sini']","['yang', 'pernah', 'pake', 'wa', 'mod', 'kumpul', 'sini']","['pake', 'wa', 'mod', 'kumpul']",yang_pernah pernah_pake pake_wa wa_mod mod_kumpul kumpul_sini,yang_pernah_pake pernah_pake_wa pake_wa_mod wa_mod_kumpul mod_kumpul_sini
kemaren gua liat bejorka lagi nyangkul sawah,"['kemaren', 'gua', 'liat', 'bejorka', 'lagi', 'nyangkul', 'sawah']","['kemaren', 'gua', 'liat', 'bejorka', 'lagi', 'nyangkul', 'sawah']","['kemaren', 'gua', 'liat', 'bejorka', 'lagi', 'nyangkul', 'sawah']","['kemaren', 'gua', 'liat', 'bejorka', 'nyangkul', 'sawah']",kemaren_gua gua_liat liat_bejorka bejorka_lagi lagi_nyangkul nyangkul_sawah,kemaren_gua_liat gua_liat_bejorka liat_bejorka_lagi bejorka_lagi_nyangkul lagi_nyangkul_sawah
listyo yen nonton iso sadar ra ea,"['listyo', 'yen', 'nonton', 'iso', 'sadar', 'ra', 'ea']","['listyo', 'yen', 'nonton', 'iso', 'sadar', 'ra', 'ea']","['listyo', 'yen', 'nonton', 'iso', 'sadar', 'ra', 'ea']","['listyo', 'yen', 'nonton', 'iso', 'sadar', 'ra', 'ea']",listyo_yen yen_nonton nonton_iso iso_sadar sadar_ra ra_ea,listyo_yen_nonton yen_nonton_iso nonton_iso_sadar iso_sadar_ra sadar_ra_ea
info nya bangyang nggak a1mungkin,"['info', 'nya', 'bangyang', 'nggak', 'a1mungkin']","['info', 'nya', 'bangyang', 'nggak', 'a1mungkin']","['info', 'nya', 'bangyang', 'nggak', 'a1mungkin']","['info', 'nya', 'bangyang', 'nggak', 'a1mungkin']",info_nya nya_bangyang bangyang_nggak nggak_a1mungkin,info_nya_bangyang nya_bangyang_nggak bangyang_nggak_a1mungkin
banyak rakyat yg pinter jadi pemerintah dan intansi tertentu harus introspeksi,"['banyak', 'rakyat', 'yg', 'pinter', 'jadi', 'pemerintah', 'dan', 'intansi', 'tertentu', 'harus', 'introspeksi']","['banyak', 'rakyat', 'yg', 'pinter', 'jadi', 'pemerintah', 'dan', 'intansi', 'tertentu', 'haru', 'introspeksi']","['banyak', 'rakyat', 'yg', 'pinter', 'jadi', 'pemerintah', 'dan', 'intansi', 'tertentu', 'haru', 'introspeksi']","['rakyat', 'yg', 'pinter', 'pemerintah', 'intansi', 'haru', 'introspeksi']",banyak_rakyat rakyat_yg yg_pinter pinter_jadi jadi_pemerintah pemerintah_dan dan_intansi intansi_tertentu tertentu_harus harus_introspeksi,banyak_rakyat_yg rakyat_yg_pinter yg_pinter_jadi pinter_jadi_pemerintah jadi_pemerintah_dan pemerintah_dan_intansi dan_intansi_tertentu intansi_tertentu_harus tertentu_harus_introspeksi
anak yang punya kemampuan ini harus di ciptain lingkungan piara misal tes kerja diutamakan keterima,"['anak', 'anak', 'yang', 'punya', 'kemampuan', 'ini', 'harus', 'di', 'ciptain', 'lingkungan', 'piara', 'misal', 'tes', 'kerja', 'diutamakan', 'keterima']","['anak', 'anak', 'yang', 'punya', 'kemampuan', 'ini', 'haru', 'di', 'ciptain', 'lingkungan', 'piara', 'misal', 'te', 'kerja', 'diutamakan', 'keterima']","['anak', 'anak', 'yang', 'punya', 'kemampuan', 'ini', 'haru', 'di', 'ciptain', 'lingkungan', 'piara', 'misal', 'te', 'kerja', 'diutamakan', 'keterima']","['anak', 'anak', 'kemampuan', 'haru', 'ciptain', 'lingkungan', 'piara', 'te', 'kerja', 'diutamakan', 'keterima']",anak_yang yang_punya punya_kemampuan kemampuan_ini ini_harus harus_di di_ciptain ciptain_lingkungan lingkungan_piara piara_misal misal_tes tes_kerja kerja_diutamakan diutamakan_keterima,anak_yang_punya yang_punya_kemampuan punya_kemampuan_ini kemampuan_ini_harus ini_harus_di harus_di_ciptain di_ciptain_lingkungan ciptain_lingkungan_piara lingkungan_piara_misal piara_misal_tes misal_tes_kerja tes_kerja_diutamakan kerja_diutamakan_keterima
nangkap maling motor aja gk pernah kenak,"['nangkap', 'maling', 'motor', 'aja', 'gk', 'pernah', 'kenak']","['nangkap', 'male', 'motor', 'aja', 'gk', 'pernah', 'kenak']","['nangkap', 'male', 'motor', 'aja', 'gk', 'pernah', 'kenak']","['nangkap', 'male', 'motor', 'aja', 'gk', 'kenak']",nangkap_maling maling_motor motor_aja aja_gk gk_pernah pernah_kenak,nangkap_maling_motor maling_motor_aja motor_aja_gk aja_gk_pernah gk_pernah_kenak
plot twist ternyata bjorka adalah fufufafa,"['plot', 'twist', 'ternyata', 'bjorka', 'adalah', 'fufufafa']","['plot', 'twist', 'ternyata', 'bjorka', 'adalah', 'fufufafa']","['plot', 'twist', 'ternyata', 'bjorka', 'adalah', 'fufufafa']","['plot', 'twist', 'bjorka', 'fufufafa']",plot_twist twist_ternyata ternyata_bjorka bjorka_adalah adalah_fufufafa,plot_twist_ternyata twist_ternyata_bjorka ternyata_bjorka_adalah bjorka_adalah_fufufafa
kalo yang baru2 ini di anggap bjorka lalu bagaimana dengan penangkapan dilakukan kepada tukas es keliling apakah ada banyak,"['kalo', 'yang', 'baru2', 'ini', 'di', 'anggap', 'bjorka', 'lalu', 'bagaimana', 'dengan', 'penangkapan', 'dilakukan', 'kepada', 'tukas', 'es', 'keliling', 'apakah', 'ada', 'banyak']","['kalo', 'yang', 'baru2', 'ini', 'di', 'anggap', 'bjorka', 'lalu', 'bagaimana', 'dengan', 'penangkapan', 'dilakukan', 'kepada', 'tuka', 'es', 'kelil', 'apakah', 'ada', 'banyak']","['kalo', 'yang', 'baru2', 'ini', 'di', 'anggap', 'bjorka', 'lalu', 'bagaimana', 'dengan', 'penangkapan', 'dilakukan', 'kepada', 'tuka', 'e', 'kelil', 'apakah', 'ada', 'banyak']","['kalo', 'baru2', 'anggap', 'bjorka', 'penangkapan', 'tuka', 'e', 'kelil', 'bjorka']",kalo_yang yang_baru2 baru2_ini ini_di di_anggap anggap_bjorka bjorka_lalu lalu_bagaimana bagaimana_dengan dengan_penangkapan penangkapan_dilakukan dilakukan_kepada kepada_tukas tukas_es es_keliling keliling_apakah apakah_ada ada_banyak,kalo_yang_baru2 yang_baru2_ini baru2_ini_di ini_di_anggap di_anggap_bjorka anggap_bjorka_lalu bjorka_lalu_bagaimana lalu_bagaimana_dengan bagaimana_dengan_penangkapan dengan_penangkapan_dilakukan penangkapan_dilakukan_kepada dilakukan_kepada_tukas kepada_tukas_es tukas_es_keliling es_keliling_apakah keliling_apakah_ada apakah_ada_banyak
semoga data pu4n bocor,"['semoga', 'data', 'pu4n', 'bocor']","['semoga', 'data', 'pu4n', 'bocor']","['semoga', 'data', 'pu4n', 'bocor']","['semoga', 'data', 'pu4n', 'bocor']",semoga_data data_pu4n pu4n_bocor,semoga_data_pu4n data_pu4n_bocor
yah memang sdmnya segitu mereka umumnya sltpsederajat jadi harap maklum,"['yah', 'memang', 'sdmnya', 'segitu', 'mereka', 'umumnya', 'sltpsederajat', 'jadi', 'harap', 'maklum']","['yah', 'memang', 'sdmnya', 'segitu', 'mereka', 'umumnya', 'sltpsederajat', 'jadi', 'harap', 'maklum']","['yah', 'memang', 'sdmnya', 'segitu', 'mereka', 'umumnya', 'sltpsederajat', 'jadi', 'harap', 'maklum']","['yah', 'sdmnya', 'segitu', 'sltpsederajat', 'harap', 'maklum']",yah_memang memang_sdmnya sdmnya_segitu segitu_mereka mereka_umumnya umumnya_sltpsederajat sltpsederajat_jadi jadi_harap harap_maklum,yah_memang_sdmnya memang_sdmnya_segitu sdmnya_segitu_mereka segitu_mereka_umumnya mereka_umumnya_sltpsederajat umumnya_sltpsederajat_jadi sltpsederajat_jadi_harap jadi_harap_maklum
bjorka,['bjorka'],['bjorka'],['bjorka'],['bjorka'],,
no system is safe,"['no', 'system', 'is', 'safe']","['no', 'system', 'is', 'safe']","['no', 'system', 'is', 'safe']","['no', 'system', 'is', 'safe']",no_system system_is is_safe,no_system_is system_is_safe
parcok tu emang kerjanya kalau gk ngibul ya meres,"['parcok', 'tu', 'emang', 'kerjanya', 'kalau', 'gk', 'ngibul', 'ya', 'meres']","['parcok', 'tu', 'emang', 'kerjanya', 'kalau', 'gk', 'ngibul', 'ya', 'mere']","['parcok', 'tu', 'emang', 'kerjanya', 'kalau', 'gk', 'ngibul', 'ya', 'mere']","['parcok', 'tu', 'emang', 'kerjanya', 'gk', 'ngibul', 'ya', 'mere']",parcok_tu tu_emang emang_kerjanya kerjanya_kalau kalau_gk gk_ngibul ngibul_ya ya_meres,parcok_tu_emang tu_emang_kerjanya emang_kerjanya_kalau kerjanya_kalau_gk kalau_gk_ngibul gk_ngibul_ya ngibul_ya_meres
dan ternyata bjorka yg ngmg dipodcast ini,"['dan', 'ternyata', 'bjorka', 'yg', 'ngmg', 'dipodcast', 'ini']","['dan', 'ternyata', 'bjorka', 'yg', 'ngmg', 'dipodcast', 'ini']","['dan', 'ternyata', 'bjorka', 'yg', 'ngmg', 'dipodcast', 'ini']","['bjorka', 'yg', 'ngmg', 'dipodcast']",dan_ternyata ternyata_bjorka bjorka_yg yg_ngmg ngmg_dipodcast dipodcast_ini,dan_ternyata_bjorka ternyata_bjorka_yg bjorka_yg_ngmg yg_ngmg_dipodcast ngmg_dipodcast_ini
memang seperti itu public sector goverment tidak adil swasta ketat tapi diatas banyak faktanya,"['memang', 'seperti', 'itu', 'public', 'sector', 'goverment', 'tidak', 'adil', 'swasta', 'ketat', 'tapi', 'diatas', 'banyak', 'faktanya']","['memang', 'seperti', 'itu', 'public', 'sector', 'gover', 'tidak', 'adil', 'swasta', 'ketat', 'tapi', 'diata', 'banyak', 'faktanya']","['memang', 'seperti', 'itu', 'public', 'sector', 'gover', 'tidak', 'adil', 'swasta', 'ketat', 'tapi', 'diata', 'banyak', 'faktanya']","['public', 'sector', 'gover', 'adil', 'swasta', 'ketat', 'diata', 'faktanya']",memang_seperti seperti_itu itu_public public_sector sector_goverment goverment_tidak tidak_adil adil_swasta swasta_ketat ketat_tapi tapi_diatas diatas_banyak banyak_faktanya,memang_seperti_itu seperti_itu_public itu_public_sector public_sector_goverment sector_goverment_tidak goverment_tidak_adil tidak_adil_swasta adil_swasta_ketat swasta_ketat_tapi ketat_tapi_diatas tapi_diatas_banyak diatas_banyak_faktanya
